Site     => https://www.similarweb.com/top-websites/news-and-media/
Category => News & Media Publishers 

Rank     Website
1        yahoo.com 
2        yahoo.co.jp
3        naver.com
4        turbopages.org
5        qq.com
6        aajtak.in
7        globo.com
8        msn.com
9        nytimes.com
10       bbc.co.uk
11       cnn.com
12       news.yahoo.co.jp
13       bbc.com
14       uol.com.br
15       news.google.com
16       dailymail.co.uk
17       theguardian.com
18       foxnews.com
19       wp.pl
20       sohu.com
21       onet.pl
22       infobae.com
23       news.yahoo.com
24       livedoor.jp
25       finance.yahoo.com
26       interia.pl
27       bild.de
28       timesofindia.com
29       news.naver.com
30       nypost.com
31       163.com
32       news18.com
33       rbc.ru
34       vnexpress.net
35       detik.com
36       sina.cn
37       indiatimes.com
38       news.mail.ru
39       kompas.com
40       t-online.de
41       washingtonpost.com
42       cnbc.com
43       usatoday.com
44       rambler.ru
45       repubblica.it
46       people.com
47       auone.jp
48       tribunnews.com
49       hurriyet.com.tr
50       india.com
